Business Name,Email,Source
The Bangalore Cafe,example@mysite.com,Customer
The Bangalore Cafe,info@mysite.com,Customer
Just BLR,info@justblr.com,Customer
"Lotus Pavilion, ITC Gardenia - Restaurants In Bengaluru",reservations@itchotels.com,Customer
"Lotus Pavilion, ITC Gardenia - Restaurants In Bengaluru",events@itchotels.com,Customer
"Lotus Pavilion, ITC Gardenia - Restaurants In Bengaluru",reservations@itchotels.in,Customer
"Lotus Pavilion, ITC Gardenia - Restaurants In Bengaluru",events@itchotels.in,Customer
"Karavalli - Vivanta Bengaluru, Residency Road",spa.vivantaresidencyblr@tajhotels.com,Customer
"Karavalli - Vivanta Bengaluru, Residency Road",vivanta.residencyblr@tajhotels.com,Customer
"Karavalli - Vivanta Bengaluru, Residency Road",reservations@ihcltata.com,Customer
"Karavalli - Vivanta Bengaluru, Residency Road",jivaspavivanta.whitefield@tajhotels.com,Customer
"Karavalli - Vivanta Bengaluru, Residency Road",karavalli.vivantaresidencyblr@tajhotels.com,Customer
"Karavalli - Vivanta Bengaluru, Residency Road",website.feedback@ihcltata.com,Customer
"Karavalli - Vivanta Bengaluru, Residency Road",reservations.karnataka@ihcltata.com,Customer
LUPA,reservations.lupa@savaaser.com,Customer
LUPA,media@manuchandraventures.com,Customer
Spice Terrace,jw.blrjw.Spiceterrace@marriotthotels.com,Customer
The 13th Floor,ivorytower@aswati.com,Customer
"Gufha Restaurant, Kumarapark",sales1@paihotels.com,Customer
"Gufha Restaurant, Kumarapark",enquiry@presidenthotel.in,Customer
Holiday Inn Bengaluru Racecourse by IHG,concierge@holidayinnblr.com,Customer
Holiday Inn Bengaluru Racecourse by IHG,dm@holidayinnblr.com,Customer
Holiday Inn Bengaluru Racecourse by IHG,marketing@holidayinnblr.com,Customer
Octave Himalaya Monarch,reservations_pld@octavehotels.com,Customer
Octave Himalaya Monarch,reservations_glf@octavehotels.com,Customer
Octave Himalaya Monarch,reservations_jpn@octavehotels.com,Customer
Octave Himalaya Monarch,reservations_upt@octavehotels.com,Customer
Octave Himalaya Monarch,parisresidency1@gmail.com,Customer
Octave Himalaya Monarch,rnt.octavehotels@gmail.com,Customer
Octave Himalaya Monarch,reservations_roc@octavehotels.com,Customer
Octave Himalaya Monarch,hoteltajpalace7@gmail.com,Customer
Octave Himalaya Monarch,reservations_rgp@octavehotels.com,Customer
Octave Himalaya Monarch,info@kingsuites.com,Customer
Octave Himalaya Monarch,reservations@styloteljagadish.com,Customer
Octave Himalaya Monarch,reservations_jmy@octavehotels.com,Customer
Octave Himalaya Monarch,reservations_mth@octavehotels.com,Customer
Octave Himalaya Monarch,reservations_csl@octavehotels.com,Customer
Octave Himalaya Monarch,saarangforever@gmail.com,Customer
Octave Himalaya Monarch,reservations_orc@octavehotels.com,Customer
Octave Himalaya Monarch,reservations_rdy@octavehotels.com,Customer
Octave Himalaya Monarch,reservations_fmt@octavehotels.com,Customer
Octave Himalaya Monarch,reservations_chh@octavehotels.com,Customer
Octave Himalaya Monarch,naufalbedrody@octavehotels.com,Customer
Octave Himalaya Monarch,reservation@vishwaratnahotel.com,Customer
Octave Himalaya Monarch,reservations_cls@octavehotels.com,Customer
Octave Himalaya Monarch,reservations_kpk@octavehotels.com,Customer
Octave Himalaya Monarch,reservations_stu@octavehotels.com,Customer
Octave Himalaya Monarch,reservations_lsv@octavehotels.com,Customer
Octave Himalaya Monarch,mailmejagdish41@gmail.com,Customer
Octave Himalaya Monarch,reservations@octavehotels.com,Customer
Octave Himalaya Monarch,reservations_shp@octavehotels.com,Customer
Octave Himalaya Monarch,reservations_adi@octavehotels.com,Customer
Octave Himalaya Monarch,hotelverdisso2022@gmail.com,Customer
Octave Himalaya Monarch,kanakakrinacomfortskkc@gmail.com,Customer
Octave Himalaya Monarch,reservations_bun@octavehotels.com,Customer
Octave Himalaya Monarch,hil.octavehotels@gmail.com,Customer
Octave Himalaya Monarch,styloteljagadish@gmail.com,Customer
Octave Himalaya Monarch,reservations_nrv@octavehotels.com,Customer
Octave Himalaya Monarch,frontdesk.bgarh@bundelaresorts.com,Customer
Octave Himalaya Monarch,reservations_cap@octavehotels.com,Customer
Octave Himalaya Monarch,reservations_dbl@octavehotels.com,Customer
Octave Himalaya Monarch,reservations_crh@octavehotels.com,Customer
Octave Himalaya Monarch,reservations_him@octavehotels.com,Customer
Octave Himalaya Monarch,reservations_plz@octavehotels.com,Customer
Octave Himalaya Monarch,reservations_brk@octavehotels.com,Customer
Octave Himalaya Monarch,reservations_rop@octavehotels.com,Customer
Octave Himalaya Monarch,velsgrand.bangalore@gmail.com,Customer
Octave Himalaya Monarch,reservations_kan@octavehotels.com,Customer
